ParticipantName	PresentationSequence	MediaName	RecordingTimestamp	StudioEventIndex	GazePointX (ADCSpx)	GazePointY (ADCSpx)	ValidityLeft	ValidityRight	
P72	7	Flip_B2_G1.wmv	5762		635	529	0	0	
P72	7	Flip_B2_G1.wmv	5779		631	527	0	0	
P72	7	Flip_B2_G1.wmv	5796		617	539	0	0	
P72	7	Flip_B2_G1.wmv	5812		625	542	0	0	
P72	7	Flip_B2_G1.wmv	5829		613	537	0	0	
P72	7	Flip_B2_G1.wmv	5845		614	535	0	0	
P72	7	Flip_B2_G1.wmv	5862		615	534	0	0	
P72	7	Flip_B2_G1.wmv	5879		634	542	0	0	
P72	7	Flip_B2_G1.wmv	5895		619	536	0	0	
P72	7	Flip_B2_G1.wmv	5912		614	531	0	0	
P72	7	Flip_B2_G1.wmv	5929		618	538	0	0	
P72	7	Flip_B2_G1.wmv	5945		613	536	0	0	
P72	7	Flip_B2_G1.wmv	5962		621	536	0	0	
P72	7	Flip_B2_G1.wmv	5979		613	533	0	0	
P72	7	Flip_B2_G1.wmv	5995		617	536	0	0	
P72	7	Flip_B2_G1.wmv	6012		611	532	0	0	
P72	7	Flip_B2_G1.wmv	6029		616	536	0	0	
P72	7	Flip_B2_G1.wmv	6045		616	536	0	0	
P72	7	Flip_B2_G1.wmv	6062		612	531	0	0	
P72	7	Flip_B2_G1.wmv	6079		616	537	0	0	
P72	7	Flip_B2_G1.wmv	6095		616	537	0	0	
P72	7	Flip_B2_G1.wmv	6112		615	540	0	0	
P72	7	Flip_B2_G1.wmv	6129		617	541	0	0	
P72	7	Flip_B2_G1.wmv	6145		678	511	0	0	
P72	7	Flip_B2_G1.wmv	6162		697	505	0	0	
P72	7	Flip_B2_G1.wmv	6179		697	505	0	0	
P72	7	Flip_B2_G1.wmv	6195		700	505	0	0	
P72	7	Flip_B2_G1.wmv	6212		699	508	0	0	
P72	7	Flip_B2_G1.wmv	6228		699	502	0	0	
P72	7	Flip_B2_G1.wmv	6245		697	507	0	0	
P72	7	Flip_B2_G1.wmv	6262		702	512	0	0	
P72	7	Flip_B2_G1.wmv	6278		696	501	0	0	
P72	7	Flip_B2_G1.wmv	6295		703	506	0	0	
P72	7	Flip_B2_G1.wmv	6312		699	501	0	0	
P72	7	Flip_B2_G1.wmv	6328		707	509	0	0	
P72	7	Flip_B2_G1.wmv	6345		695	501	0	0	
P72	7	Flip_B2_G1.wmv	6362		729	509	0	0	
P72	7	Flip_B2_G1.wmv	6378		936	538	0	0	
P72	7	Flip_B2_G1.wmv	6395		1068	577	0	0	
P72	7	Flip_B2_G1.wmv	6412		1090	581	0	0	
P72	7	Flip_B2_G1.wmv	6428		1104	585	0	0	
P72	7	Flip_B2_G1.wmv	6445		1101	583	0	0	
P72	7	Flip_B2_G1.wmv	6462		1106	586	0	0	
P72	7	Flip_B2_G1.wmv	6478		1103	586	0	0	
P72	7	Flip_B2_G1.wmv	6495		1104	591	0	0	
P72	7	Flip_B2_G1.wmv	6512		1101	589	0	0	
P72	7	Flip_B2_G1.wmv	6528		1107	586	0	0	
P72	7	Flip_B2_G1.wmv	6545		1102	584	0	0	
P72	7	Flip_B2_G1.wmv	6562		1109	582	0	0	
P72	7	Flip_B2_G1.wmv	6578		1107	586	0	0	
P72	7	Flip_B2_G1.wmv	6595		1104	586	0	0	
P72	7	Flip_B2_G1.wmv	6612		1108	585	0	0	
P72	7	Flip_B2_G1.wmv	6628		1103	584	0	0	
P72	7	Flip_B2_G1.wmv	6645		1106	588	0	0	
P72	7	Flip_B2_G1.wmv	6661		1110	588	0	0	
P72	7	Flip_B2_G1.wmv	6678		1105	589	0	0	
P72	7	Flip_B2_G1.wmv	6695		1107	590	0	0	
P72	7	Flip_B2_G1.wmv	6711		1101	590	0	0	
P72	7	Flip_B2_G1.wmv	6728		1109	590	0	0	
P72	7	Flip_B2_G1.wmv	6745		1103	589	0	0	
P72	7	Flip_B2_G1.wmv	6761		1103	594	0	0	
P72	7	Flip_B2_G1.wmv	6778		1109	587	0	0	
P72	7	Flip_B2_G1.wmv	6795		1109	584	0	0	
P72	7	Flip_B2_G1.wmv	6811		1103	595	0	0	
P72	7	Flip_B2_G1.wmv	6828		1104	594	0	0	
P72	7	Flip_B2_G1.wmv	6845		1103	597	0	0	
P72	7	Flip_B2_G1.wmv	6861		1105	585	0	0	
P72	7	Flip_B2_G1.wmv	6878		1099	595	0	0	
P72	7	Flip_B2_G1.wmv	6895		1107	593	0	0	
P72	7	Flip_B2_G1.wmv	6911		1103	594	0	0	
P72	7	Flip_B2_G1.wmv	6928		1102	589	0	0	
P72	7	Flip_B2_G1.wmv	6945		1106	595	0	0	
P72	7	Flip_B2_G1.wmv	6961		1100	596	0	0	
P72	7	Flip_B2_G1.wmv	6978		1100	599	0	0	
